name,class,level,power,price,date
NichyGold,taoist,105,156794,343,2026-04-22
15T4FrgeWPN,warrior,155,487764,6000,2026-04-22
2龙珠2龙麟高矿速,arbalist,111,145988,488,2026-04-22
NEW KR,warrior,162,535453,9500,2026-04-22
Kita 冬,taoist,147,403255,1380,2026-04-22
MrRìght,warrior,152,423757,1700,2026-04-22
RHムÐA,darkist,151,410648,1700,2026-04-22
'SWAT,warrior,153,428372,3000,2026-04-22
DC luhy,arbalist,151,422765,3950,2026-04-22
Jcicero,taoist,142,332695,450,2026-04-22
YelowMoon,sorcerer,105,155742,343,2026-04-22
LukyXDぷ,arbalist,150,439754,2000,2026-04-22
MA丶Aoumi,taoist,144,348924,1000,2026-04-22
Wind Arro W,arbalist,161,491218,4450,2026-04-22
Xsptimusz,taoist,151,390058,1300,2026-04-22
Zoltan442,warrior,140,330417,475,2026-04-22
ジUMムDBマロジ,lancer,144,368235,1350,2026-04-22
名门ⓈⓅ Quad メ,arbalist,142,326873,500,2026-04-22
星 Nana,arbalist,144,359553,670,2026-04-22
MYTHICAL PET,arbalist,153,419193,2775,2026-04-22
亗 You・ツ,arbalist,144,357635,900,2026-04-22
14kATKbuff10,sorcerer,158,433078,2500,2026-04-22
''SraZerok'',arbalist,151,363483,800,2026-04-22
ツ TvC ツ,arbalist,155,420145,1700,2026-04-22
山乇卂ㄒ卄乇尺,arbalist,132,271100,385,2026-04-22
ⓂⒶⒹ・Fawkes メ,arbalist,149,386663,850,2026-04-22
NeklaceTRADE,sorcerer,142,305835,680,2026-04-22
cASHa,taoist,100,165965,100,2026-04-22
Trish4Mhae,taoist,151,422375,2090,2026-04-22
でGurenメ,arbalist,149,371981,700,2026-04-22
KaguraChann,arbalist,118,182816,156,2026-04-22
Baldur 老闆,arbalist,148,372054,789,2026-04-22
Axer゜Marvado,lancer,150,396749,2000,2026-04-22
メ Almond,warrior,154,442475,3500,2026-04-22
5k2a5kcr5kev,arbalist,154,419873,1900,2026-04-22
Virus 亗,arbalist,161,476193,7500,2026-04-22
4TRAD38BADGE,lancer,152,413024,2500,2026-04-22
布尔扎科 Harlem,taoist,83,128458,45,2026-04-22
几ㄖ乃ㄥ乇丂丂乇,taoist,100,151977,67,2026-04-22
Pieni 焱,taoist,141,380331,900,2026-04-22
亗 You・ツ,arbalist,144,357635,900,2026-04-22
14kATKbuff10,sorcerer,158,433078,2500,2026-04-22
''SraZerok'',arbalist,151,363483,800,2026-04-22
ツ TvC ツ,arbalist,155,420145,1700,2026-04-22
山乇卂ㄒ卄乇尺,arbalist,132,271100,385,2026-04-22
ⓂⒶⒹ・Fawkes メ,arbalist,149,386663,850,2026-04-22
NeklaceTRADE,sorcerer,142,305835,680,2026-04-22
cASHa,taoist,100,165965,100,2026-04-22
Trish4Mhae,taoist,151,422375,2090,2026-04-22
でGurenメ,arbalist,149,371981,700,2026-04-22
KaguraChann,arbalist,118,182816,156,2026-04-22
Baldur 老闆,arbalist,148,372054,789,2026-04-22
Axer゜Marvado,lancer,150,396749,2000,2026-04-22
メ Almond,warrior,154,442475,3500,2026-04-22
5k2a5kcr5kev,arbalist,154,419873,1900,2026-04-22
Virus 亗,arbalist,161,476193,7500,2026-04-22
4TRAD38BADGE,lancer,152,413024,2500,2026-04-22
布尔扎科 Harlem,taoist,83,128458,45,2026-04-22
几ㄖ乃ㄥ乇丂丂乇,taoist,100,151977,67,2026-04-22
Pieni 焱,taoist,141,380331,900,2026-04-22
亗 You・ツ,arbalist,144,357635,900,2026-04-22
14kATKbuff10,sorcerer,158,433078,2500,2026-04-22
''SraZerok'',arbalist,151,363483,800,2026-04-22
ツ TvC ツ,arbalist,155,420145,1700,2026-04-22
山乇卂ㄒ卄乇尺,arbalist,132,271100,385,2026-04-22
ⓂⒶⒹ・Fawkes メ,arbalist,149,386663,850,2026-04-22
NeklaceTRADE,sorcerer,142,305835,680,2026-04-22
cASHa,taoist,100,165965,100,2026-04-22
Trish4Mhae,taoist,151,422375,2090,2026-04-22
でGurenメ,arbalist,149,371981,700,2026-04-22
KaguraChann,arbalist,118,182816,156,2026-04-22
Baldur 老闆,arbalist,148,372054,789,2026-04-22
Axer゜Marvado,lancer,150,396749,2000,2026-04-22
メ Almond,warrior,154,442475,3500,2026-04-22
5k2a5kcr5kev,arbalist,154,419873,1900,2026-04-22
Virus 亗,arbalist,161,476193,7500,2026-04-22
4TRAD38BADGE,lancer,152,413024,2500,2026-04-22
布尔扎科 Harlem,taoist,83,128458,45,2026-04-22
几ㄖ乃ㄥ乇丂丂乇,taoist,100,151977,67,2026-04-22
Pieni 焱,taoist,141,380331,900,2026-04-22
Dayst,lancer,147,401916,1500,2026-04-22
Christine222,taoist,135,243669,490,2026-04-22
Záki 전사,taoist,148,379756,650,2026-04-22
名人堂 BroDong,warrior,153,459417,4850,2026-04-22
大四喜,arbalist,170,622807,38000,2026-04-22
KillerZ ツ,arbalist,146,362655,700,2026-04-22
Kheraa,taoist,135,289765,340,2026-04-22
xXOutcastXx,arbalist,127,260700,320,2026-04-22
5keva520skrd,warrior,146,385815,1550,2026-04-22
GlassCanon21,arbalist,158,514573,12900,2026-04-22
҉痛 Minato 痛҉,arbalist,149,415698,1750,2026-04-22
EON 帅,taoist,148,400909,1040,2026-04-22
ArAzH,arbalist,143,352402,640,2026-04-22
550SkillPVP,arbalist,153,440216,2180,2026-04-22
MikaZukY001,sorcerer,156,434854,2250,2026-04-22
Ann Clive,arbalist,151,400754,1890,2026-04-22
PBeeツ,taoist,146,371213,777,2026-04-22
Quincz メ,arbalist,154,401518,1200,2026-04-22
Shinjicoin',arbalist,172,630633,37000,2026-04-22
GOODSTATSPVP,warrior,168,573278,16000,2026-04-22
亗 You・ツ,arbalist,144,357635,900,2026-04-22
14kATKbuff10,sorcerer,158,433078,2500,2026-04-22
''SraZerok'',arbalist,151,363483,800,2026-04-22
ツ TvC ツ,arbalist,155,420145,1700,2026-04-22
山乇卂ㄒ卄乇尺,arbalist,132,271100,385,2026-04-22
ⓂⒶⒹ・Fawkes メ,arbalist,149,386663,850,2026-04-22
NeklaceTRADE,sorcerer,142,305835,680,2026-04-22
cASHa,taoist,100,165965,100,2026-04-22
Trish4Mhae,taoist,151,422375,2090,2026-04-22
でGurenメ,arbalist,149,371981,700,2026-04-22
KaguraChann,arbalist,118,182816,156,2026-04-22
Baldur 老闆,arbalist,148,372054,789,2026-04-22
Axer゜Marvado,lancer,150,396749,2000,2026-04-22
メ Almond,warrior,154,442475,3500,2026-04-22
5k2a5kcr5kev,arbalist,154,419873,1900,2026-04-22
Virus 亗,arbalist,161,476193,7500,2026-04-22
4TRAD38BADGE,lancer,152,413024,2500,2026-04-22
布尔扎科 Harlem,taoist,83,128458,45,2026-04-22
几ㄖ乃ㄥ乇丂丂乇,taoist,100,151977,67,2026-04-22
Pieni 焱,taoist,141,380331,900,2026-04-22
Dayst,lancer,147,401916,1500,2026-04-22
Christine222,taoist,135,243669,490,2026-04-22
Záki 전사,taoist,148,379756,650,2026-04-22
名人堂 BroDong,warrior,153,459417,4850,2026-04-22
大四喜,arbalist,170,622807,38000,2026-04-22
KillerZ ツ,arbalist,146,362655,700,2026-04-22
Kheraa,taoist,135,289765,340,2026-04-22
xXOutcastXx,arbalist,127,260700,320,2026-04-22
5keva520skrd,warrior,146,385815,1550,2026-04-22
GlassCanon21,arbalist,158,514573,12900,2026-04-22
҉痛 Minato 痛҉,arbalist,149,415698,1750,2026-04-22
EON 帅,taoist,148,400909,1040,2026-04-22
ArAzH,arbalist,143,352402,640,2026-04-22
550SkillPVP,arbalist,153,440216,2180,2026-04-22
MikaZukY001,sorcerer,156,434854,2250,2026-04-22
Ann Clive,arbalist,151,400754,1890,2026-04-22
PBeeツ,taoist,146,371213,777,2026-04-22
Quincz メ,arbalist,154,401518,1200,2026-04-22
Shinjicoin',arbalist,172,630633,37000,2026-04-22
GOODSTATSPVP,warrior,168,573278,16000,2026-04-22
亗 You・ツ,arbalist,144,357635,900,2026-04-22
14kATKbuff10,sorcerer,158,433078,2500,2026-04-22
