name,class,level,power,price,date
TRADEitmsPVP,arbalist,156,440466,2499,2026-03-30
HøpeBreaker,warrior,148,378043,735,2026-03-30
Relapse69,arbalist,148,369642,859,2026-03-30
56cevallmaps,taoist,158,439487,3100,2026-03-30
Rakouu,sorcerer,150,394363,1090,2026-03-30
TUBI TH4M,arbalist,100,171887,100,2026-03-30
Lexu XIII,warrior,151,420241,3110,2026-03-30
lý nguyên bá,lancer,92,136852,55,2026-03-30
・EVA・,warrior,154,405228,1950,2026-03-30
NG ｼ,lancer,162,503676,11500,2026-03-30
SS Frost,sorcerer,161,542676,15000,2026-03-30
CND金 ѕauяoи,taoist,163,528974,10450,2026-03-30
OlhosDeGato,darkist,115,210032,150,2026-03-30
6KCRITEDECK1,taoist,164,554641,16000,2026-03-30
E丶V1L GRAY,sorcerer,150,395198,1100,2026-03-30
Nikolai 2026,arbalist,145,373860,730,2026-03-30
AYKUTALP,taoist,158,481748,9500,2026-03-30
VelhaTurbo',darkist,151,357813,800,2026-03-30
DC x1zum,arbalist,158,482393,11500,2026-03-30
m1th ヅ,taoist,155,402025,1750,2026-03-30
星嵐・Galaxy,arbalist,156,439727,3800,2026-03-30
MEDICIN4,taoist,143,345425,540,2026-03-30
VBalla,darkist,153,435436,2600,2026-03-30
Synchro 火,taoist,142,373156,600,2026-03-30
morigante,lancer,100,160833,99,2026-03-30
Rebequizzz,taoist,148,386087,999,2026-03-30
BlueRock 彡,sorcerer,150,372439,1200,2026-03-30
张无忌哥哥,arbalist,145,371523,699,2026-03-30
Kayrøns,arbalist,164,502877,8000,2026-03-30
Bimorhi67,lancer,113,167973,210,2026-03-30
GH10trdbrace,taoist,146,402521,1100,2026-03-30
Warlordss,warrior,161,506727,9500,2026-03-30
Haazer,arbalist,88,140960,60,2026-03-30
Abdullah・ メ,arbalist,164,516135,10500,2026-03-30
愈 TRX,taoist,155,434704,2800,2026-03-30
・TiTo・ メ,arbalist,153,434131,4040,2026-03-30
Muskion,arbalist,159,448421,4990,2026-03-30
T3WPGH10CAT,taoist,151,396367,1400,2026-03-30
仲裁者 丶BELLAッ,arbalist,134,305986,399,2026-03-30
BestBuildPVP,arbalist,154,500912,8800,2026-03-30
星嵐・Galaxy,arbalist,156,439727,3800,2026-03-30
MEDICIN4,taoist,143,345425,540,2026-03-30
VBalla,darkist,153,435436,2600,2026-03-30
Synchro 火,taoist,142,373156,600,2026-03-30
morigante,lancer,100,160833,99,2026-03-30
Rebequizzz,taoist,148,386087,999,2026-03-30
BlueRock 彡,sorcerer,150,372439,1200,2026-03-30
张无忌哥哥,arbalist,145,371523,699,2026-03-30
Kayrøns,arbalist,164,502877,8000,2026-03-30
Bimorhi67,lancer,113,167973,210,2026-03-30
GH10trdbrace,taoist,146,402521,1100,2026-03-30
Warlordss,warrior,161,506727,9500,2026-03-30
Haazer,arbalist,88,140960,60,2026-03-30
Abdullah・ メ,arbalist,164,516135,10500,2026-03-30
愈 TRX,taoist,155,434704,2800,2026-03-30
・TiTo・ メ,arbalist,153,434131,4040,2026-03-30
Muskion,arbalist,159,448421,4990,2026-03-30
T3WPGH10CAT,taoist,151,396367,1400,2026-03-30
